f1,precision,recall,balanced_accuracy,false_alert_rate,tn,fp,fn,tp,method,threshold,seed,severity
0.8602540834845736,0.8349970640046976,0.8870867124142233,0.8777045558322288,0.1316776007497657,1853,281,181,1422,Max OR Fusion,0.7000000000000001,0,0.6
0.847051403342794,0.8565051020408163,0.8378041172800998,0.8661841579840049,0.10543580131208997,1909,225,260,1343,Min Agreement Fusion,0.37,0,0.6
0.8543922984356197,0.8251016850668216,0.8858390517779164,0.8723946899002046,0.14104967197750704,1833,301,183,1420,Product Agreement Fusion,0.19,0,0.6
0.867055572612834,0.8536880290205562,0.8808484092326887,0.8837231736885093,0.1134020618556701,1892,242,191,1412,Naive Independence,0.8300000000000001,0,0.6
0.8500331785003318,0.9078667611622963,0.7991266375545851,0.8691040872871332,0.06091846298031865,2004,130,322,1281,Rule AND Tuned,0.48000000000000004,0,0.6
0.8602540834845736,0.8349970640046976,0.8870867124142233,0.8777045558322288,0.1316776007497657,1853,281,181,1422,Rule OR Tuned,0.7000000000000001,0,0.6
0.8823151125401929,0.9104180491041804,0.8558951965065502,0.8963168578596481,0.06326148078725398,1999,135,231,1372,Calibrated Logistic Fusion,0.6900000000000001,0,0.6
0.8951747088186356,0.9593437945791726,0.8390517779164067,0.9061706874586719,0.026710402999062792,2077,57,258,1345,Temporal Logistic Fusion,0.79,0,0.6
0.884990253411306,0.9233898305084746,0.8496568933250156,0.8983523454441386,0.05295220243673852,2021,113,241,1362,Temporal Extra Trees,0.54,0,0.6
0.8852140077821011,0.9216745442268738,0.851528384279476,0.8985851855792881,0.05435801312089972,2018,116,238,1365,Temporal Random Forest,0.5,0,0.6
0.8819599109131403,0.9,0.8646288209606987,0.8962319362535452,0.07216494845360824,1980,154,217,1386,Temporal HistGradientBoosting,0.38,0,0.6
0.8684814693342079,0.9156293222683264,0.825951341235184,0.884390853372981,0.05716963448922212,2012,122,279,1324,Camera Only,0.67,0,0.8
0.7863148738764859,0.7345612134344529,0.8459139114160948,0.8081490831682161,0.2296157450796626,1644,490,247,1356,Accelerometer Only,0.5,0,0.8
